# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.575000e+01
# lRef        : 1.000000e+00
# Aref        : 1.700000e-01
# CofR        : (3.920000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-8.921380e-14	4.214159e-03	5.787705e-14	-6.027527e-14	1.181523e-13
1             	2.327975e-03	1.054407e+01	-9.660803e-04	1.844935e-03	-2.811015e-03
2             	-1.824143e-02	6.100869e+00	2.805988e-02	-4.211484e-03	3.227137e-02
3             	-1.086835e-02	-1.858895e+00	-3.643259e-02	-2.908464e-02	-7.347948e-03
4             	-1.216330e-02	-4.432043e+00	-7.500447e-02	-4.966553e-02	-2.533894e-02
5             	4.257787e-03	-1.994488e+00	-1.722655e-01	-8.187496e-02	-9.039054e-02
6             	9.150423e-03	7.772109e-01	-7.762642e-02	-2.966279e-02	-4.796364e-02
7             	2.305209e-02	1.783767e+00	1.168927e-01	8.149844e-02	3.539425e-02
8             	1.469165e-02	9.615575e-01	2.254460e-01	1.274147e-01	9.803137e-02
9             	-6.024907e-04	2.486614e-03	1.457376e-01	7.226629e-02	7.347127e-02
10            	-1.679604e-02	-2.132745e-01	-4.629779e-02	-3.994494e-02	-6.352853e-03
11            	-2.214295e-02	4.930058e-02	-1.599965e-01	-1.021412e-01	-5.785529e-02
12            	-2.006111e-02	1.824758e-01	-1.505515e-01	-9.533687e-02	-5.521464e-02
13            	-7.324287e-03	5.406075e-02	-4.567430e-02	-3.016144e-02	-1.551286e-02
14            	8.879106e-03	-5.628103e-02	1.835975e-02	1.805898e-02	3.007710e-04
15            	1.665972e-02	1.435614e-02	5.036222e-02	4.184083e-02	8.521387e-03
16            	1.361716e-02	2.068254e-01	5.161253e-02	3.942342e-02	1.218911e-02
17            	-1.594427e-04	2.997200e-01	3.272621e-02	1.620366e-02	1.652255e-02
18            	-1.070889e-02	2.416474e-01	1.530576e-02	-3.056014e-03	1.836177e-02
19            	-1.297481e-02	1.090275e-01	-1.310522e-02	-1.952742e-02	6.422198e-03
20            	-7.695402e-03	1.953330e-02	-3.553609e-02	-2.546345e-02	-1.007264e-02
21            	-1.001339e-03	2.555364e-02	-2.749235e-02	-1.474752e-02	-1.274484e-02
22            	4.517895e-03	7.894467e-02	-1.376921e-02	-2.366707e-03	-1.140250e-02
23            	4.778133e-03	1.386667e-01	1.063537e-02	1.009582e-02	5.395529e-04
24            	2.802845e-03	1.680064e-01	2.517538e-02	1.539053e-02	9.784844e-03
25            	-2.855761e-03	1.588665e-01	1.722593e-02	5.757206e-03	1.146873e-02
26            	-5.888670e-03	1.345012e-01	3.299872e-03	-4.238734e-03	7.538606e-03
27            	-5.329197e-03	1.034671e-01	-1.238339e-02	-1.152089e-02	-8.624964e-04
28            	-2.919627e-03	8.147437e-02	-2.058796e-02	-1.321361e-02	-7.374354e-03
29            	9.801492e-04	7.898658e-02	-1.506050e-02	-6.550101e-03	-8.510400e-03
30            	4.162191e-03	9.105903e-02	-4.065348e-03	2.129517e-03	-6.194865e-03
31            	6.047520e-03	1.134575e-01	1.080019e-02	1.144761e-02	-6.474268e-04
32            	5.565606e-03	1.296576e-01	2.186471e-02	1.649796e-02	5.366751e-03
33            	1.559517e-03	1.294470e-01	1.786849e-02	1.049376e-02	7.374730e-03
34            	-3.820661e-03	1.166660e-01	1.513781e-03	-3.063771e-03	4.577552e-03
35            	-7.992426e-03	9.834325e-02	-2.106593e-02	-1.852539e-02	-2.540541e-03
36            	-8.007098e-03	8.694650e-02	-3.606399e-02	-2.603909e-02	-1.002490e-02
37            	-3.858245e-03	8.754081e-02	-3.164894e-02	-1.968272e-02	-1.196623e-02
38            	1.437092e-03	9.530117e-02	-1.520495e-02	-6.165385e-03	-9.039569e-03
39            	5.441654e-03	1.045432e-01	4.655814e-03	7.769561e-03	-3.113747e-03
40            	6.353823e-03	1.099477e-01	1.779156e-02	1.524960e-02	2.541956e-03
41            	3.839315e-03	1.088455e-01	1.550891e-02	1.159377e-02	3.915141e-03
42            	1.742216e-04	1.040981e-01	4.352965e-03	2.350704e-03	2.002261e-03
43            	-3.074493e-03	9.898438e-02	-9.349960e-03	-7.749473e-03	-1.600487e-03
44            	-5.069821e-03	9.499452e-02	-2.185813e-02	-1.599889e-02	-5.859244e-03
45            	-4.643850e-03	9.404513e-02	-2.432080e-02	-1.680425e-02	-7.516549e-03
46            	-2.905045e-03	9.526909e-02	-1.965463e-02	-1.273236e-02	-6.922269e-03
47            	-9.963587e-04	9.691406e-02	-1.307044e-02	-7.531576e-03	-5.538859e-03
48            	8.357471e-04	9.836589e-02	-5.211301e-03	-1.769903e-03	-3.441397e-03
49            	1.761776e-03	9.888737e-02	2.848829e-04	1.904218e-03	-1.619335e-03
50            	1.483018e-03	9.826542e-02	7.373224e-04	1.851680e-03	-1.114357e-03
51            	6.530883e-04	9.721399e-02	-1.671263e-03	-1.825431e-04	-1.488720e-03
52            	-4.545035e-04	9.588340e-02	-6.278107e-03	-3.593557e-03	-2.684550e-03
53            	-1.183645e-03	9.475365e-02	-1.019857e-02	-6.282932e-03	-3.915643e-03
54            	-9.739497e-04	9.454689e-02	-1.017422e-02	-6.061060e-03	-4.113161e-03
55            	-3.178584e-04	9.495132e-02	-8.050792e-03	-4.343255e-03	-3.707538e-03
56            	3.910350e-04	9.547947e-02	-5.495231e-03	-2.356580e-03	-3.138650e-03
57            	8.451888e-04	9.582882e-02	-3.569967e-03	-9.397948e-04	-2.630172e-03
58            	7.996701e-04	9.572342e-02	-3.215740e-03	-8.081998e-04	-2.407540e-03
59            	4.012351e-04	9.530086e-02	-3.839769e-03	-1.518650e-03	-2.321120e-03
60            	-9.017316e-05	9.479396e-02	-4.799567e-03	-2.489957e-03	-2.309611e-03
61            	-4.576747e-04	9.436158e-02	-5.796964e-03	-3.356157e-03	-2.440807e-03
62            	-3.977821e-04	9.425549e-02	-6.315798e-03	-3.555681e-03	-2.760117e-03
63            	-1.839975e-05	9.438555e-02	-6.094776e-03	-3.065788e-03	-3.028988e-03
64            	4.392759e-04	9.450192e-02	-5.367137e-03	-2.244293e-03	-3.122844e-03
